acquisition_date,area,chance_of_rain,channel,date,highest_temperatures,lowest_temperatures,weather,wind_speed
2017-08-07 21:20:09.879211,1,30,9,2017-08-10,35,26,曇,
2017-08-07 21:20:09.879211,1,40,9,2017-08-11,33,25,曇時々晴,
2017-08-07 21:20:09.879211,1,40,9,2017-08-12,32,24,曇時々晴,
2017-08-07 21:20:09.879211,1,30,9,2017-08-13,31,24,曇時々晴,
2017-08-07 21:20:09.879211,1,30,9,2017-08-14,29,23,曇時々晴,
2017-08-07 21:20:09.879211,1,80,9,2017-08-15,28,24,晴時々雨,
2017-08-07 21:20:09.879211,1,80,9,2017-08-16,28,24,雨のち晴,
