acquisition_date,chance_of_rain,channel,date,humidity,precipitation,temperatures,time,weather,wind_direction,wind_speed
2017-08-28 10:15:02.912400,30,44,2017-08-30,84,0,20.5,15:00:00,曇り,東南東,1
2017-08-28 10:15:02.912400,50,44,2017-08-30,90,0,19.2,16:00:00,小雨,北東,1
2017-08-28 10:15:02.912400,50,44,2017-08-30,94,0,18.4,17:00:00,小雨,北,1
2017-08-28 10:15:02.912400,50,44,2017-08-30,94,0,17.5,18:00:00,小雨,北北西,1
2017-08-28 10:15:02.912400,40,44,2017-08-30,94,0,17.2,19:00:00,小雨,北北西,1
2017-08-28 10:15:02.912400,40,44,2017-08-30,94,0,17.0,20:00:00,小雨,北北西,1
2017-08-28 10:15:02.912400,40,44,2017-08-30,100,0,16.6,21:00:00,小雨,北北西,1
2017-08-28 10:15:02.912400,20,44,2017-08-30,100,0,16.5,22:00:00,曇り,北北西,1
2017-08-28 10:15:02.912400,20,44,2017-08-30,100,0,16.4,23:00:00,曇り,北北西,1
2017-08-28 10:15:02.912400,20,44,2017-08-30,100,0,16.0,23:59:59,曇り,北北西,1
