acquisition_date,chance_of_rain,channel,date,highest_temperatures,lowest_temperatures,weather,wind_speed
2017-09-04 14:24:44.400038,70,43,2017-09-07,23,17,雨のち曇,
2017-09-04 14:24:44.400038,50,43,2017-09-08,23,16,曇一時雨,
2017-09-04 14:24:44.400038,20,43,2017-09-09,24,13,晴時々曇,
2017-09-04 14:24:44.400038,20,43,2017-09-10,25,12,晴時々曇,
2017-09-04 14:24:44.400038,40,43,2017-09-11,23,12,曇時々晴,
2017-09-04 14:24:44.400038,80,43,2017-09-12,25,17,晴時々雨,
2017-09-04 14:24:44.400038,60,43,2017-09-13,21,15,曇一時雨,
