acquisition_date,chance_of_rain,channel,date,highest_temperatures,lowest_temperatures,weather,wind_speed
2017-08-09 21:16:35.245048,50,10,2017-08-11,29,23,曇時々雨,
2017-08-09 21:16:35.245048,40,10,2017-08-12,30,24,曇り,
2017-08-09 21:16:35.245048,30,10,2017-08-13,30,24,曇時々晴,
2017-08-09 21:16:35.245048,30,10,2017-08-14,29,23,曇時々晴,
2017-08-09 21:16:35.245048,50,10,2017-08-15,28,23,曇時々雨,
2017-08-09 21:16:35.245048,50,10,2017-08-16,30,23,曇時々雨,
