acquisition_date,chance_of_rain,channel,date,humidity,precipitation,temperatures,time,weather,wind_direction,wind_speed
2017-09-04 14:24:51.677930,0,44,2017-09-04,96,0,10.8,01:00:00,晴れ,静穏,0
2017-09-04 14:24:51.677930,0,44,2017-09-04,96,0,10.2,02:00:00,晴れ,静穏,0
2017-09-04 14:24:51.677930,0,44,2017-09-04,96,0,10.0,03:00:00,晴れ,静穏,0
2017-09-04 14:24:51.677930,0,44,2017-09-04,96,0,10.0,04:00:00,晴れ,静穏,0
2017-09-04 14:24:51.677930,0,44,2017-09-04,96,0,9.8,05:00:00,晴れ,静穏,0
2017-09-04 14:24:51.677930,0,44,2017-09-04,92,0,10.7,06:00:00,晴れ,静穏,0
2017-09-04 14:24:51.677930,0,44,2017-09-04,88,0,12.5,07:00:00,晴れ,静穏,0
2017-09-04 14:24:51.677930,0,44,2017-09-04,72,0,14.3,08:00:00,晴れ,東北東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,63,0,16.2,09:00:00,晴れ,東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,59,0,16.6,10:00:00,晴れ,東南東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,57,0,17.4,11:00:00,晴れ,東南東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,60,0,18.2,12:00:00,晴れ,南東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,59,0,18.8,13:00:00,晴れ,南東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,64,0,17.3,14:00:00,晴れ,東南東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,68,0,16.9,15:00:00,晴れ,東南東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,74,0,16.0,16:00:00,曇り,東南東,1
2017-09-04 14:24:51.677930,0,44,2017-09-04,84,0,15.3,17:00:00,曇り,南東,1
2017-09-04 14:24:51.677930,10,44,2017-09-04,94,0,14.2,18:00:00,曇り,南南東,1
2017-09-04 14:24:51.677930,10,44,2017-09-04,100,0,14.4,19:00:00,曇り,南南東,1
2017-09-04 14:24:51.677930,10,44,2017-09-04,100,0,14.6,20:00:00,曇り,静穏,0
2017-09-04 14:24:51.677930,10,44,2017-09-04,98,0,14.1,21:00:00,曇り,静穏,0
2017-09-04 14:24:51.677930,10,44,2017-09-04,100,0,13.6,22:00:00,曇り,静穏,0
