acquisition_date,chance_of_rain,channel,date,humidity,precipitation,temperatures,time,weather,wind_direction,wind_speed
2017-08-17 23:29:27.386086,10,14,2017-08-17,100,0,16.3,01:00:00,小雨,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-17,100,0,16.2,02:00:00,小雨,静穏,0
2017-08-17 23:29:27.386086,30,14,2017-08-17,99,1,16.0,03:00:00,弱雨,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-17,99,0,16.1,04:00:00,小雨,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-17,99,0,15.9,05:00:00,小雨,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-17,100,0,16.2,06:00:00,曇り,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-17,98,0,17.0,07:00:00,曇り,静穏,0
2017-08-17 23:29:27.386086,30,14,2017-08-17,94,1,18.0,08:00:00,弱雨,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-17,94,0,19.1,09:00:00,小雨,東南東,1
2017-08-17 23:29:27.386086,10,14,2017-08-17,90,0,20.0,10:00:00,小雨,東南東,1
2017-08-17 23:29:27.386086,10,14,2017-08-17,87,0,21.0,11:00:00,曇り,南東,1
2017-08-17 23:29:27.386086,20,14,2017-08-17,81,0,21.7,12:00:00,曇り,南東,1
2017-08-17 23:29:27.386086,20,14,2017-08-17,82,0,21.3,13:00:00,曇り,南東,1
2017-08-17 23:29:27.386086,30,14,2017-08-17,84,0,20.7,14:00:00,曇り,南東,1
2017-08-17 23:29:27.386086,30,14,2017-08-17,87,0,19.8,15:00:00,曇り,南東,1
2017-08-17 23:29:27.386086,30,14,2017-08-17,91,0,19.7,16:00:00,曇り,南東,1
2017-08-17 23:29:27.386086,50,14,2017-08-17,97,2,19.2,17:00:00,弱雨,静穏,0
2017-08-17 23:29:27.386086,60,14,2017-08-17,100,2,18.7,18:00:00,弱雨,静穏,0
2017-08-17 23:29:27.386086,50,14,2017-08-17,100,3,18.6,19:00:00,弱雨,静穏,0
2017-08-17 23:29:27.386086,50,14,2017-08-17,100,3,18.6,20:00:00,弱雨,静穏,0
2017-08-17 23:29:27.386086,50,14,2017-08-17,100,3,18.4,21:00:00,弱雨,静穏,0
2017-08-17 23:29:27.386086,50,14,2017-08-17,100,2,18.3,22:00:00,弱雨,静穏,0
2017-08-17 23:29:27.386086,50,14,2017-08-17,100,8,18.2,23:00:00,雨,静穏,0
2017-08-17 23:29:27.386086,40,14,2017-08-17,100,10,18.0,23:59:59,雨,静穏,0
2017-08-17 23:29:27.386086,60,14,2017-08-18,100,0,18.0,01:00:00,小雨,静穏,0
2017-08-17 23:29:27.386086,60,14,2017-08-18,100,0,17.6,02:00:00,小雨,静穏,0
2017-08-17 23:29:27.386086,60,14,2017-08-18,100,0,17.8,03:00:00,小雨,静穏,0
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,17.8,04:00:00,曇り,静穏,0
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,17.9,05:00:00,曇り,西南西,1
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,17.9,06:00:00,曇り,南西,1
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,18.2,07:00:00,曇り,南南東,1
2017-08-17 23:29:27.386086,40,14,2017-08-18,98,0,18.7,08:00:00,曇り,南東,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,100,0,19.1,09:00:00,小雨,南東,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,98,0,20.0,10:00:00,小雨,南東,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,96,0,20.7,11:00:00,小雨,南東,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,92,0,21.0,12:00:00,小雨,南東,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,92,0,21.5,13:00:00,小雨,南東,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,100,1,20.5,14:00:00,弱雨,東南東,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,100,1,19.3,15:00:00,弱雨,南東,1
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,19.0,16:00:00,曇り,南,1
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,18.5,17:00:00,曇り,南西,1
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,18.8,18:00:00,曇り,南西,1
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,18.9,19:00:00,曇り,南西,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,100,0,18.8,20:00:00,小雨,南西,1
2017-08-17 23:29:27.386086,60,14,2017-08-18,100,0,18.6,21:00:00,小雨,南西,1
2017-08-17 23:29:27.386086,40,14,2017-08-18,100,0,18.6,22:00:00,曇り,南西,1
2017-08-17 23:29:27.386086,30,14,2017-08-18,100,0,18.6,23:00:00,曇り,南西,1
2017-08-17 23:29:27.386086,20,14,2017-08-18,100,0,18.4,23:59:59,曇り,南西,1
2017-08-17 23:29:27.386086,20,14,2017-08-19,100,0,18.3,01:00:00,曇り,南西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,17.8,02:00:00,曇り,西南西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,17.3,03:00:00,曇り,西南西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,96,0,16.7,04:00:00,曇り,西南西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,96,0,17.1,05:00:00,曇り,西南西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,17.8,06:00:00,曇り,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,18.5,07:00:00,曇り,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,19.1,08:00:00,曇り,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-19,88,0,20.3,09:00:00,曇り,東北東,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,82,0,21.3,10:00:00,曇り,北東,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,80,0,22.5,11:00:00,曇り,北北東,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,78,0,23.3,12:00:00,曇り,北北東,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,76,0,22.4,13:00:00,曇り,北北東,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,78,0,21.7,14:00:00,曇り,北北東,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,80,0,21.1,15:00:00,曇り,北北東,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,82,0,20.7,16:00:00,曇り,北北東,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,84,0,20.2,17:00:00,曇り,北,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,88,0,19.5,18:00:00,曇り,北北西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,98,0,18.9,19:00:00,曇り,北北西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,18.5,20:00:00,曇り,北西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,18.0,21:00:00,曇り,北西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,17.8,22:00:00,曇り,北西,1
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,17.6,23:00:00,曇り,静穏,0
2017-08-17 23:29:27.386086,10,14,2017-08-19,100,0,17.2,23:59:59,曇り,静穏,0
