acquisition_date,area,chance_of_rain,channel,date,highest_temperatures,lowest_temperatures,weather,wind_speed
2017-08-07 21:20:17.478677,1,20,10,2017-08-09,37,26,曇時々晴,
2017-08-07 21:20:17.478677,1,30,10,2017-08-10,35,25,曇時々晴,
2017-08-07 21:20:17.478677,1,40,10,2017-08-11,33,25,曇時々晴,
2017-08-07 21:20:17.478677,1,40,10,2017-08-12,32,24,曇時々晴,
2017-08-07 21:20:17.478677,1,30,10,2017-08-13,31,24,曇時々晴,
2017-08-07 21:20:17.478677,1,30,10,2017-08-14,29,23,曇時々晴,
