acquisition_date,chance_of_rain,channel,date,highest_temperatures,lowest_temperatures,weather,wind_speed
2017-08-09 14:08:16.870873,60,9,2017-08-12,30,24,雨のち曇,
2017-08-09 14:08:16.870873,40,9,2017-08-13,30,24,曇時々晴,
2017-08-09 14:08:16.870873,40,9,2017-08-14,29,23,曇時々晴,
2017-08-09 14:08:16.870873,50,9,2017-08-15,28,23,曇一時雨,
2017-08-09 14:08:16.870873,50,9,2017-08-16,30,23,曇一時雨,
2017-08-09 14:08:16.870873,80,9,2017-08-17,32,26,雨のち晴,
2017-08-09 14:08:16.870873,40,9,2017-08-18,32,26,晴,
