acquisition_date,area,chance_of_rains,channel,date,humidity,precipitation,temperatures,time,weather,wind_direction,wind_speed
2017-08-07 17:34:44.228124,1,,10,2017-08-07,86,4,28,21:00:00,弱雨,南東,3
acquisition_date,area,chance_of_rains,channel,date,humidity,precipitation,temperatures,time,weather,wind_direction,wind_speed
2017-08-07 21:07:15.710521,1,,10,2017-08-07,94,0,27,00:00:00,曇り,南南東,1
2017-08-07 21:07:15.710521,1,,10,2017-08-07,96,0,26,03:00:00,曇り,南東,1
2017-08-07 21:07:15.710521,1,,10,2017-08-07,96,0,26,06:00:00,曇り,南南東,1
2017-08-07 21:07:15.710521,1,,10,2017-08-07,79,0,30,09:00:00,曇り,南南東,1
2017-08-07 21:07:15.710521,1,,10,2017-08-07,64,0,34,12:00:00,晴れ,南,3
2017-08-07 21:07:15.710521,1,,10,2017-08-07,67,0,32,15:00:00,曇り,南南東,3
2017-08-07 21:07:15.710521,1,,10,2017-08-07,80,4,30,18:00:00,弱雨,南東,3
2017-08-07 21:07:15.710521,1,,10,2017-08-07,88,3,28,21:00:00,弱雨,南東,3
acquisition_date,area,chance_of_rains,channel,date,humidity,precipitation,temperatures,time,weather,wind_direction,wind_speed
2017-08-07 21:10:10.368112,1,,10,2017-08-07,94,0,27,00:00:00,曇り,南南東,1
2017-08-07 21:10:10.368112,1,,10,2017-08-07,96,0,26,03:00:00,曇り,南東,1
2017-08-07 21:10:10.368112,1,,10,2017-08-07,96,0,26,06:00:00,曇り,南南東,1
2017-08-07 21:10:10.368112,1,,10,2017-08-07,79,0,30,09:00:00,曇り,南南東,1
2017-08-07 21:10:10.368112,1,,10,2017-08-07,64,0,34,12:00:00,晴れ,南,3
2017-08-07 21:10:10.368112,1,,10,2017-08-07,67,0,32,15:00:00,曇り,南南東,3
2017-08-07 21:10:10.368112,1,,10,2017-08-07,80,4,30,18:00:00,弱雨,南東,3
2017-08-07 21:10:10.368112,1,,10,2017-08-07,88,3,28,21:00:00,弱雨,南東,3
2017-08-07 21:10:10.368112,1,,10,2017-08-08,88,2,28,00:00:00,弱雨,南東,3
2017-08-07 21:10:10.368112,1,,10,2017-08-08,90,1,27,03:00:00,弱雨,南東,4
2017-08-07 21:10:10.368112,1,,10,2017-08-08,88,0,28,06:00:00,弱雨,南東,3
2017-08-07 21:10:10.368112,1,,10,2017-08-08,80,3,30,09:00:00,弱雨,南,3
2017-08-07 21:10:10.368112,1,,10,2017-08-08,94,6,27,12:00:00,強雨,南南西,4
2017-08-07 21:10:10.368112,1,,10,2017-08-08,96,3,27,15:00:00,弱雨,南西,3
2017-08-07 21:10:10.368112,1,,10,2017-08-08,94,0,27,18:00:00,弱雨,南西,1
2017-08-07 21:10:10.368112,1,,10,2017-08-08,92,0,26,21:00:00,曇り,南,1
acquisition_date,0
chance_of_rains,1
channel,2
date,3
humidity,4
precipitation,5
temperatures,6
time,7
weather,8
wind_direction,9
wind_speed,10
2017-08-09 14:12:29.490841,,10,2017-08-09,88,0,27,00:00:00,曇り,南東,1
2017-08-09 14:12:29.490841,,10,2017-08-09,87,0,26,03:00:00,晴れ,南,1
2017-08-09 14:12:29.490841,,10,2017-08-09,78,0,27,06:00:00,晴れ,西,1
2017-08-09 14:12:29.490841,,10,2017-08-09,61,0,31,09:00:00,晴れ,北,1
2017-08-09 14:12:29.490841,,10,2017-08-09,54,0,36,12:00:00,晴れ,北西,1
2017-08-09 14:12:29.490841,,10,2017-08-09,50,0,36,15:00:00,晴れ,西,1
2017-08-09 14:12:29.490841,,10,2017-08-09,62,0,32,18:00:00,曇り,西北西,1
2017-08-09 14:12:29.490841,,10,2017-08-09,68,0,29,21:00:00,曇り,北,1
2017-08-09 14:12:29.490841,,10,2017-08-10,80,0,27,00:00:00,曇り,北北東,1
2017-08-09 14:12:29.490841,,10,2017-08-10,84,0,27,03:00:00,曇り,北北東,1
2017-08-09 14:12:29.490841,,10,2017-08-10,90,0,26,06:00:00,曇り,東北東,1
2017-08-09 14:12:29.490841,,10,2017-08-10,80,0,29,09:00:00,曇り,東北東,1
2017-08-09 14:12:29.490841,,10,2017-08-10,70,0,32,12:00:00,曇り,東南東,1
2017-08-09 14:12:29.490841,,10,2017-08-10,68,0,34,15:00:00,曇り,南東,2
2017-08-09 14:12:29.490841,,10,2017-08-10,78,0,29,18:00:00,弱雨,南東,2
2017-08-09 14:12:29.490841,,10,2017-08-10,88,1,26,21:00:00,弱雨,東,3
