acquisition_date,chance_of_rain,channel,date,highest_temperatures,lowest_temperatures,weather,wind_speed
2017-08-17 23:29:19.969363,40,13,2017-08-20,23,16,曇のち雨,
2017-08-17 23:29:19.969363,50,13,2017-08-21,24,17,曇時々雨,
2017-08-17 23:29:19.969363,50,13,2017-08-22,25,18,曇一時雨,
2017-08-17 23:29:19.969363,40,13,2017-08-23,26,18,曇時々晴,
2017-08-17 23:29:19.969363,30,13,2017-08-24,26,17,曇時々晴,
2017-08-17 23:29:19.969363,80,13,2017-08-25,26,18,晴時々雨,
2017-08-17 23:29:19.969363,40,13,2017-08-26,24,16,晴時々曇,
